Course,Term,Enroll #,Evals Made,Recommend Class,Recommend Instructor,Study Hours (hrs/wk),Avg Grade Expected/Received,Difficulty Score,Difficulty
DSC 10 - Principles of Data Science (A),SP23,117,92,97.8,98.9,8.32,B+ (3.55) / B (3.21),31.76,Easy
DSC 10 - Principles of Data Science (B),SP23,117,80,82.3,96.2,8.78,B+ (3.42) / B (3.14),31.93999999999999,Easy
DSC 100 - Intro to Data Management (A),SP23,99,81,87.7,80.0,5.33,A- (3.86) / A- (3.77),17.79,Very Easy
DSC 102 - Systems for Scalable Analytics (A),SP23,112,77,93.5,92.2,6.74,A- (3.73) / B+ (3.53),24.22000000000001,Easy
DSC 104 - Beyond Relational Data Mgmt (A),SP23,18,6,100.0,80.0,6.1,A (4.00) / N/A,58.3,Moderate
DSC 106 - Intro to Data Visualization (A),SP23,100,46,71.7,68.9,8.09,A- (3.75) / A- (3.85),27.27,Easy
DSC 106 - Intro to Data Visualization (B),SP23,74,31,86.2,96.3,8.57,B+ (3.67) / A (4.00),35.61000000000001,Easy
DSC 140A - Probabilistic Modeling and ML (A),SP23,46,19,57.9,52.6,8.85,B (3.12) / B (3.20),28.950000000000003,Easy
DSC 140B - Representation Learning (A),SP23,75,25,91.3,95.7,5.8,B+ (3.39) / B+ (3.38),17.6,Very Easy
DSC 140B - Representation Learning (B),SP23,71,17,100.0,50.0,6.37,B+ (3.63) / B+ (3.43),23.109999999999992,Easy
DSC 178 - IntroRobotPerceptionNavigation (A),SP23,18,7,66.7,83.3,8.83,A (4.00) / N/A,66.49,Difficult
DSC 190 - Topics in Data Science (B),SP23,7,3,100.0,100.0,4.5,B+ (3.67) / N/A,53.5,Moderate
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP23,135,59,98.1,96.3,8.72,B+ (3.47) / B- (2.86),38.360000000000014,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP23,97,49,81.3,87.5,13.36,B (3.00) / C+ (2.54),49.28,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (B),SP23,96,35,86.7,93.3,11.37,B+ (3.47) / B (3.11),41.31,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (C),SP23,30,21,90.5,85.7,10.31,B+ (3.33) / B (3.08),35.93,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP23,73,32,100.0,96.7,5.7,B+ (3.65) / B+ (3.32),23.700000000000003,Easy
DSC 80 - Practice of Data Science (A),SP23,130,106,90.6,70.5,11.69,B+ (3.39) / B+ (3.36),35.67,Easy
DSC 95 - Tutor Appshp in Data Science (A),SP23,18,15,100.0,93.3,2.79,A (4.00) / N/A,48.370000000000005,Moderate
DSC 10 - Principles of Data Science (A),WI23,103,71,84.5,90.1,9.46,B+ (3.30) / B- (2.98),34.78,Easy
DSC 10 - Principles of Data Science (B),WI23,106,74,89.0,91.8,8.82,B+ (3.36) / B (3.14),30.86,Easy
DSC 10 - Principles of Data Science (D),WI23,92,53,88.5,90.4,7.96,B+ (3.42) / B- (2.76),37.080000000000005,Easy
DSC 100 - Intro to Data Management (A),WI23,119,98,95.9,81.4,5.66,A- (3.86) / A- (3.85),17.179999999999996,Very Easy
DSC 102 - Systems for Scalable Analytics (A),WI23,160,48,80.4,91.3,7.79,B+ (3.56) / A- (3.88),32.97,Easy
DSC 106 - Intro to Data Visualization (A),WI23,145,92,57.1,40.7,9.44,B+ (3.69) / B+ (3.70),28.620000000000005,Easy
DSC 140A - Probabilistic Modeling and ML (A),WI23,115,37,97.2,97.2,7.01,B+ (3.49) / B+ (3.42),22.430000000000003,Easy
DSC 140A - Probabilistic Modeling and ML (B),WI23,118,38,88.9,91.7,7.41,B+ (3.41) / B+ (3.36),23.230000000000004,Easy
DSC 148 - Introduction to Data Mining (A),WI23,63,40,94.9,89.5,6.86,A- (3.90) / A- (3.82),22.180000000000003,Easy
DSC 170 - Spatial Data Science and Appl (A),WI23,34,6,83.3,83.3,12.17,B+ (3.50) / A- (3.97),50.61000000000001,Moderate
DSC 180B - Data Science Project II (A),WI23,110,26,95.8,100.0,8.24,A (4.00) / A- (3.95),25.72,Easy
DSC 180B - Data Science Project II (B),WI23,91,19,94.7,100.0,9.24,A- (3.89) / A- (3.89),27.72,Easy
DSC 190 - Topics in Data Science (B),WI23,13,13,100.0,100.0,2.96,A- (3.92) / N/A,48.88,Moderate
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI23,142,78,93.2,93.2,11.13,B+ (3.49) / B (3.17),39.790000000000006,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (B),WI23,134,69,75.4,83.1,10.41,B+ (3.37) / B- (2.91),40.43,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (A),WI23,106,95,75.8,63.2,12.27,B (3.15) / B (3.26),40.10999999999999,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),WI23,92,86,79.8,84.5,8.03,B (3.15) / B (3.05),26.090000000000003,Easy
DSC 40A - Theor Fndtns of Data Sci I (B),WI23,36,31,76.7,73.3,9.5,B+ (3.40) / B (3.16),33.3,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI23,120,63,96.7,100.0,6.32,B+ (3.57) / B+ (3.34),23.56,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),WI23,42,25,92.0,84.0,5.3,A- (3.83) / B+ (3.32),26.1,Easy
DSC 80 - Practice of Data Science (A),WI23,124,100,98.0,98.0,12.9,B+ (3.49) / B+ (3.57),41.09999999999999,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI23,18,9,100.0,100.0,2.06,A (4.00) / N/A,46.18,Moderate
DSC 96 - Workshop in Data Science (A),WI23,13,8,100.0,100.0,3.5,A (4.00) / N/A,50.5,Moderate
DSC 10 - Principles of Data Science (A),FA22,116,99,95.9,94.9,8.03,B+ (3.56) / B+ (3.52),24.89,Easy
DSC 10 - Principles of Data Science (B),FA22,116,97,96.9,95.9,7.57,B+ (3.53) / B+ (3.38),25.71,Easy
DSC 10 - Principles of Data Science (C),FA22,108,93,95.7,93.4,9.27,B+ (3.53) / B+ (3.31),32.209999999999994,Easy
DSC 10 - Principles of Data Science (D),FA22,53,44,93.0,72.1,8.17,A- (3.83) / B+ (3.52),30.71,Easy
DSC 100 - Intro to Data Management (A),FA22,174,127,86.4,62.1,6.45,A- (3.71) / B+ (3.69),19.75,Very Easy
DSC 102 - Systems for Scalable Analytics (A),FA22,86,24,95.7,87.0,9.95,B+ (3.43) / B+ (3.39),30.649999999999995,Easy
DSC 180A - Data Science Project I (A),FA22,112,23,81.8,100.0,8.02,A- (3.95) / A- (3.88),25.46,Easy
DSC 180A - Data Science Project I (B),FA22,92,19,89.5,94.4,6.94,B+ (3.61) / A- (3.90),29.520000000000003,Easy
DSC 190 - Topics in Data Science (A),FA22,17,5,75.0,75.0,9.5,A (4.00) / N/A,68.5,Difficult
DSC 190 - Topics in Data Science (B),FA22,17,4,25.0,50.0,8.5,A- (3.75) / N/A,65.5,Difficult
DSC 190 - Topics in Data Science (C),FA22,43,10,100.0,87.5,4.28,A- (3.89) / A- (3.93),14.040000000000004,Very Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA22,140,64,84.1,81.0,11.92,B+ (3.41) / B (3.10),41.96,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (A),FA22,90,38,85.3,82.4,11.87,B (3.26) / B- (2.84),44.00999999999999,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),FA22,108,100,84.0,60.6,7.8,B+ (3.34) / B (3.20),26.199999999999992,Easy
DSC 40A - Theor Fndtns of Data Sci I (B),FA22,96,83,86.7,73.5,7.33,B+ (3.49) / B+ (3.36),24.590000000000003,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA22,74,21,100.0,100.0,7.03,B+ (3.50) / B+ (3.34),24.290000000000006,Easy
DSC 80 - Practice of Data Science (A),FA22,122,43,100.0,100.0,11.38,B+ (3.49) / B+ (3.66),39.24,Easy
DSC 95 - Tutor Appshp in Data Science (A),FA22,23,17,100.0,100.0,1.25,A (4.00) / N/A,43.75,Moderate
DSC 96 - Workshop in Data Science (A),FA22,39,23,59.1,85.7,3.11,A- (3.71) / N/A,49.33,Moderate
DSC 10 - Principles of Data Science (A),S322,36,16,100.0,100.0,8.1,B+ (3.67) / B+ (3.65),24.700000000000003,Easy
DSC 10 - Principles of Data Science (A),SP22,132,95,89.5,94.7,8.52,B+ (3.55) / B+ (3.36),29.36,Easy
DSC 10 - Principles of Data Science (B),SP22,133,92,93.5,95.6,8.04,B+ (3.56) / B (3.15),32.32,Easy
DSC 106 - Intro to Data Visualization (A),SP22,91,70,70.1,70.1,8.17,B+ (3.58) / B+ (3.62),25.709999999999997,Easy
DSC 120 - Signal Processing/Data Analys (A),SP22,24,11,81.8,88.9,10.32,B- (2.70) / B (3.20),45.96,Moderate
DSC 140A - Probabilistic Modeling and ML (A),SP22,56,45,40.9,56.8,10.6,B (3.17) / B (3.18),32.1,Easy
DSC 161 - Text as Data (A),SP22,27,4,100.0,100.0,8.5,B (3.25) / B+ (3.58),35.400000000000006,Easy
DSC 167 - Fairness&AlgorithmicDecisions (A),SP22,46,20,85.0,95.0,5.3,A- (3.71) / B+ (3.46),20.9,Easy
DSC 190 - Topics in Data Science (A),SP22,150,55,94.2,94.1,5.87,B+ (3.69) / B (3.26),26.21,Easy
DSC 190 - Topics in Data Science (B),SP22,10,7,100.0,100.0,4.17,B+ (3.40) / N/A,52.51,Moderate
DSC 190 - Topics in Data Science (C),SP22,20,3,66.7,66.7,9.17,A (4.00) / B+ (3.65),34.510000000000005,Easy
DSC 190 - Topics in Data Science (D),SP22,20,5,60.0,60.0,14.1,A (4.00) / A- (3.94),43.5,Moderate
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP22,130,48,86.7,84.1,11.61,B+ (3.64) / B (3.12),45.23,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP22,133,60,91.1,85.2,10.88,B (3.11) / B- (2.97),35.44,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (B),SP22,48,18,88.2,70.6,9.79,B- (2.94) / C+ (2.47),38.77,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),SP22,100,39,73.7,63.2,9.47,B (3.06) / B (3.13),30.509999999999994,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP22,85,41,74.4,59.0,5.55,B (3.18) / B (3.27),19.349999999999994,Very Easy
DSC 80 - Practice of Data Science (A),SP22,109,94,98.9,100.0,11.67,B+ (3.58) / B (3.27),41.21,Moderate
DSC 80 - Practice of Data Science (B),SP22,93,76,97.4,98.7,12.39,B+ (3.58) / B+ (3.49),38.97,Easy
DSC 90 - Seminar in Data Science (A),SP22,19,8,100.0,100.0,3.25,N/A / N/A,49.75,Moderate
DSC 95 - Tutor Appshp in Data Science (A),SP22,19,14,100.0,100.0,1.93,A (4.00) / N/A,45.79,Moderate
DSC 10 - Principles of Data Science (A),WI22,141,113,97.3,100.0,8.21,A- (3.72) / B- (2.96),39.83000000000001,Easy
DSC 10 - Principles of Data Science (B),WI22,142,117,97.4,99.1,7.57,A- (3.73) / B (3.05),36.31,Easy
DSC 100 - Intro to Data Management (A),WI22,100,31,86.2,65.5,7.88,B+ (3.69) / B+ (3.67),24.04,Easy
DSC 102 - Systems for Scalable Analytics (A),WI22,136,42,87.8,85.4,9.48,B+ (3.46) / B+ (3.54),30.840000000000003,Easy
DSC 106 - Intro to Data Visualization (A),WI22,147,54,57.4,41.5,9.78,A- (3.86) / A- (3.84),29.739999999999995,Easy
DSC 140A - Probabilistic Modeling and ML (A),WI22,126,34,35.3,24.2,7.97,B (3.03) / B (3.07),25.11,Easy
DSC 140A - Probabilistic Modeling and ML (B),WI22,53,18,100.0,100.0,6.25,A (4.00) / B+ (3.61),26.550000000000004,Easy
DSC 155 - Hidden Data in Random Matrices (A),WI22,18,8,57.1,100.0,10.75,C+ (2.43) / N/A,72.25,Difficult
DSC 170 - Spatial Data Science and Appl (A),WI22,25,6,83.3,100.0,9.83,A- (3.83) / A- (3.92),32.19,Easy
