course_number,quarter,study_hours,avg_grade,learning_avg,structure_avg,environment_avg,difficulty_score,difficulty_manual,difficulty_logreg,difficulty_logreg_proba
10,fa23,8.475,3.2600000000000002,4.407500000000001,4.03,4.4925,0.4336070243610136,1,1.0,0.6579449721701506
10,fa24,7.422,3.0140000000000002,4.5200000000000005,4.332,4.5920000000000005,0.3432145955971858,0,0.0,0.2121025149434711
10,sp24,7.9799999999999995,2.9,4.4366666666666665,4.19,4.526666666666666,0.3941874163179113,0,0.0,0.44147360394505386
10,sp25,7.115,2.995,4.46,4.26,4.484999999999999,0.3711639050603318,0,0.0,0.41045161740986824
10,wi24,8.116666666666667,2.9433333333333334,4.390000000000001,4.043333333333333,4.483333333333333,0.4277395528916478,1,1.0,0.6601703729067496
10,wi25,8.215,2.9400000000000004,4.505,4.395,4.575,0.358750927650625,0,0.0,0.19267282159944926
20,fa23,9.38,3.01,4.52,4.29,4.55,0.3999283060767662,0,0.0,0.27731861582790523
20,fa24,9.75,2.92,4.575,4.5,4.5,0.38627927992741734,0,0.0,0.15611771765650595
20,sp24,8.41,2.81,4.39,4.35,4.46,0.40307886917115326,0,0.0,0.40269796888210907
20,sp25,8.585,2.67,4.595000000000001,4.415,4.675000000000001,0.33584593229290294,0,0.0,0.09307043494212844
20,wi24,8.42,3.175,4.55,4.455,4.605,0.34556100392466804,0,0.0,0.1292591259972857
20,wi25,8.17,3.045,4.515000000000001,4.345000000000001,4.56,0.3649981946716474,0,0.0,0.2327936753708877
30,fa23,9.83,2.87,4.39,4.21,4.5,0.44421502510311955,1,0.0,0.48777947987505166
30,fa24,9.28,2.99,4.05,3.73,4.27,0.5701574628536145,1,1.0,0.9794883754498177
30,sp24,10.89,3.125,4.33,4.08,4.425000000000001,0.5040495036557295,1,1.0,0.7310238023039153
30,sp25,7.375,3.395,3.79,3.69,4.25,0.5669919843472608,1,1.0,0.9928531954258821
30,wi24,10.71,2.98,4.52,4.35,4.55,0.42307435936987836,1,0.0,0.2338472035005212
30,wi25,8.11,3.1100000000000003,4.574999999999999,4.46,4.640000000000001,0.32862498104374904,0,0.0,0.10223437923394334
40,fa23,8.47,3.2099999999999995,4.306666666666667,4.17,4.52,0.4246409032873764,1,1.0,0.5732503549161726
40,fa24,7.3133333333333335,3.3666666666666667,4.513333333333333,4.3533333333333335,4.546666666666667,0.347253423272737,0,0.0,0.24592709174674815
40,sp23,9.185,2.915,4.24,4.050000000000001,4.46,0.47362771097178824,1,1.0,0.7675259489606482
40,sp24,8.293333333333333,3.1666666666666665,4.293333333333333,4.1033333333333335,4.423333333333333,0.4473720766486053,1,1.0,0.7377597962061083
40,sp25,6.69,2.96,4.495,4.2,4.58,0.3471383412712128,0,0.0,0.33382261369449423
40,wi24,6.983333333333333,3.2466666666666666,4.243333333333333,3.9866666666666664,4.29,0.46131553034191614,1,1.0,0.9052647728910478
40,wi25,6.130000000000001,3.205,4.085,4.005,4.27,0.4627934981411921,1,1.0,0.9399948450761004
80,fa23,9.88,3.33,4.48,4.16,4.46,0.4473519187078325,1,1.0,0.5271408868466502
80,fa24,11.545,3.41,4.505,4.3,4.529999999999999,0.4531791897166887,1,0.0,0.3074708437860427
80,sp24,12.004999999999999,3.49,4.57,4.245,4.605,0.4485361323750474,1,0.0,0.24181516009515147
80,sp25,10.21,3.3,4.18,4.02,4.27,0.5417797134841148,1,1.0,0.9184325985657681
80,wi24,12.55,3.39,4.52,4.33,4.56,0.46521957230963207,1,0.0,0.24737813368022923
80,wi25,10.74,3.39,4.42,4.07,4.29,0.5151182116882368,1,1.0,0.8070476103474081
