time,enrolled,available,waitlisted,total
2024-05-21T23:29:42,0,145,0,145
2024-05-21T23:35:47,0,145,0,145
2024-05-21T23:50:35,0,145,0,145
2024-05-22T00:05:24,0,145,0,145
2024-05-22T00:20:17,0,145,0,145
2024-05-22T00:35:10,0,145,0,145
2024-05-22T00:50:02,0,145,0,145
2024-05-22T01:04:53,0,145,0,145
2024-05-22T01:19:46,0,145,0,145
2024-05-22T01:34:48,0,145,0,145
2024-05-22T01:49:40,0,145,0,145
2024-05-22T02:04:32,0,145,0,145
2024-05-22T02:19:23,0,145,0,145
2024-05-22T02:34:13,0,145,0,145
2024-05-22T02:49:03,0,145,0,145
2024-05-22T03:03:53,0,145,0,145
2024-05-22T03:18:44,0,145,0,145
2024-05-22T03:33:35,0,145,0,145
2024-05-22T03:48:35,0,145,0,145
2024-05-22T04:03:29,0,145,0,145
2024-05-22T04:29:34,0,145,0,145
2024-05-22T04:44:50,0,145,0,145
2024-05-22T04:59:41,0,145,0,145
2024-05-22T05:14:41,0,145,0,145
2024-05-22T05:31:16,0,145,0,145
2024-05-22T05:46:08,0,145,0,145
2024-05-22T06:00:58,0,145,0,145
2024-05-22T06:15:49,0,145,0,145
2024-05-22T06:30:43,0,145,0,145
2024-05-22T06:45:34,0,145,0,145
2024-05-22T07:00:23,0,145,0,145
2024-05-22T07:15:18,0,145,0,145
2024-05-22T07:30:08,0,145,0,145
2024-05-22T07:44:57,0,145,0,145
2024-05-22T07:59:48,0,145,0,145
2024-05-22T08:14:38,0,145,0,145
2024-05-22T08:29:39,0,145,0,145
2024-05-22T08:44:28,0,145,0,145
2024-05-22T08:59:17,0,145,0,145
2024-05-22T09:14:07,0,145,0,145
2024-05-22T09:28:57,0,145,0,145
2024-05-22T09:43:46,0,145,0,145
2024-05-22T09:58:34,0,145,0,145
2024-05-22T10:13:22,0,145,0,145
2024-05-22T10:28:23,0,145,0,145
2024-05-22T10:43:11,0,145,0,145
2024-05-22T10:58:00,0,145,0,145
2024-05-22T11:12:49,0,145,0,145
2024-05-22T11:27:49,0,145,0,145
2024-05-22T11:42:37,0,145,0,145
2024-05-22T11:57:25,0,145,0,145
2024-05-22T12:12:24,0,145,0,145
2024-05-22T12:27:13,0,145,0,145
2024-05-22T12:42:12,0,145,0,145
2024-05-22T12:57:00,0,145,0,145
2024-05-22T13:11:49,0,145,0,145
2024-05-22T13:26:40,0,145,0,145
2024-05-22T13:41:40,0,145,0,145
2024-05-22T13:56:29,0,145,0,145
2024-05-22T14:11:19,0,145,0,145
2024-05-22T14:26:07,0,145,0,145
2024-05-22T14:41:06,0,145,0,145
2024-05-22T14:55:56,0,145,0,145
2024-05-22T15:10:44,0,145,0,145
2024-05-22T15:25:46,0,145,0,145
2024-05-22T15:40:36,0,145,0,145
2024-05-22T15:55:25,0,145,0,145
2024-05-22T16:10:15,0,145,0,145
2024-05-22T16:25:16,0,145,0,145
2024-05-22T16:40:05,0,145,0,145
2024-05-22T16:54:53,0,145,0,145
2024-05-22T17:09:43,0,145,0,145
2024-05-22T17:24:44,0,145,0,145
2024-05-22T17:39:34,0,145,0,145
2024-05-22T17:54:23,0,145,0,145
2024-05-22T18:09:13,0,145,0,145
2024-05-22T18:24:03,0,145,0,145
2024-05-22T18:38:52,0,145,0,145
2024-05-22T18:53:51,0,145,0,145
2024-05-22T19:08:40,0,145,0,145
2024-05-22T19:23:29,0,145,0,145
2024-05-22T19:38:18,0,145,0,145
2024-05-22T19:53:08,0,145,0,145
2024-05-22T20:07:57,0,145,0,145
2024-05-22T20:22:56,0,145,0,145
2024-05-22T20:37:45,0,145,0,145
2024-05-22T20:52:34,0,145,0,145
2024-05-22T21:07:24,0,145,0,145
2024-05-22T21:22:21,0,145,0,145
2024-05-22T21:37:10,0,145,0,145
2024-05-22T21:52:11,0,145,0,145
2024-05-22T22:07:01,0,145,0,145
2024-05-22T22:21:51,0,145,0,145
2024-05-22T22:36:40,0,145,0,145
2024-05-22T22:51:31,0,145,0,145
2024-05-22T23:06:21,0,145,0,145
2024-05-22T23:21:21,0,145,0,145
2024-05-22T23:36:12,0,145,0,145
2024-05-22T23:51:01,0,145,0,145
2024-05-23T00:05:52,0,145,0,145
2024-05-23T00:20:53,0,145,0,145
2024-05-23T00:35:47,0,145,0,145
2024-05-23T00:50:43,0,145,0,145
2024-05-23T01:05:35,0,145,0,145
2024-05-23T01:20:27,0,145,0,145
2024-05-23T01:35:20,0,145,0,145
2024-05-23T01:50:24,0,145,0,145
2024-05-23T02:05:15,0,145,0,145
2024-05-23T02:20:05,0,145,0,145
2024-05-23T02:34:56,0,145,0,145
2024-05-23T02:49:46,0,145,0,145
2024-05-23T03:04:38,0,145,0,145
2024-05-23T03:19:39,0,145,0,145
2024-05-23T03:34:31,0,145,0,145
2024-05-23T03:49:24,0,145,0,145
2024-05-23T04:04:19,0,145,0,145
2024-05-23T04:28:32,0,145,0,145
2024-05-23T04:43:54,0,145,0,145
2024-05-23T05:00:25,0,145,0,145
2024-05-23T05:15:31,0,145,0,145
2024-05-23T05:30:25,0,145,0,145
2024-05-23T05:45:18,0,145,0,145
2024-05-23T06:00:09,0,145,0,145
2024-05-23T06:15:01,0,145,0,145
2024-05-23T06:29:54,0,145,0,145
2024-05-23T06:44:46,0,145,0,145
2024-05-23T06:59:39,0,145,0,145
2024-05-23T07:14:34,0,145,0,145
2024-05-23T07:29:26,0,145,0,145
2024-05-23T07:44:17,0,145,0,145
2024-05-23T07:59:08,0,145,0,145
2024-05-23T08:14:02,0,145,0,145
2024-05-23T08:28:52,0,145,0,145
2024-05-23T08:43:43,0,145,0,145
2024-05-23T08:58:42,0,145,0,145
2024-05-23T09:13:32,0,145,0,145
2024-05-23T09:28:24,0,145,0,145
2024-05-23T09:43:16,0,145,0,145
2024-05-23T09:58:09,0,145,0,145
2024-05-23T10:13:03,0,145,0,145
2024-05-23T10:27:55,0,145,0,145
2024-05-23T10:42:47,0,145,0,145
2024-05-23T10:57:50,0,145,0,145
2024-05-23T11:12:41,0,145,0,145
2024-05-23T11:27:33,0,145,0,145
2024-05-23T11:42:24,0,145,0,145
2024-05-23T11:57:16,0,145,0,145
2024-05-23T12:12:18,0,145,0,145
2024-05-23T12:27:09,0,145,0,145
2024-05-23T12:42:05,0,145,0,145
2024-05-23T12:56:57,0,145,0,145
2024-05-23T13:11:48,0,145,0,145
2024-05-23T13:26:51,0,145,0,145
2024-05-23T13:41:52,0,145,0,145
2024-05-23T13:56:51,0,145,0,145
2024-05-23T14:11:44,0,145,0,145
2024-05-23T14:26:46,0,145,0,145
2024-05-23T14:41:40,0,145,0,145
2024-05-23T14:56:32,0,145,0,145
2024-05-23T15:11:25,0,145,0,145
2024-05-23T15:26:28,0,145,0,145
2024-05-23T15:41:20,0,145,0,145
2024-05-23T15:56:13,0,145,0,145
2024-05-23T16:11:05,0,145,0,145
2024-05-23T16:26:07,0,145,0,145
2024-05-23T16:41:00,0,145,0,145
2024-05-23T16:55:52,0,145,0,145
2024-05-23T17:10:45,0,145,0,145
2024-05-23T17:25:48,0,145,0,145
2024-05-23T17:40:44,0,145,0,145
2024-05-23T17:55:36,0,145,0,145
2024-05-23T18:10:28,0,145,0,145
2024-05-23T18:25:21,0,145,0,145
2024-05-23T18:40:14,0,145,0,145
2024-05-23T18:55:19,0,145,0,145
2024-05-23T19:10:12,0,145,0,145
2024-05-23T19:25:05,0,145,0,145
2024-05-23T19:39:59,0,145,0,145
2024-05-23T19:54:52,0,145,0,145
2024-05-23T20:09:46,0,145,0,145
2024-05-23T20:24:50,0,145,0,145
2024-05-23T20:39:43,0,145,0,145
2024-05-23T20:54:37,0,145,0,145
2024-05-23T21:09:30,0,145,0,145
2024-05-23T21:24:25,0,145,0,145
2024-05-23T21:39:18,0,145,0,145
2024-05-23T21:54:12,0,145,0,145
2024-05-23T22:09:18,0,145,0,145
2024-05-23T22:24:11,0,145,0,145
2024-05-23T22:39:04,0,145,0,145
2024-05-23T22:53:59,0,145,0,145
2024-05-23T23:08:52,0,145,0,145
2024-05-23T23:23:45,0,145,0,145
2024-05-23T23:38:39,0,145,0,145
2024-05-23T23:53:44,0,145,0,145
2024-05-24T00:08:43,0,145,0,145
2024-05-24T00:23:40,0,145,0,145
2024-05-24T00:38:36,0,145,0,145
2024-05-24T00:53:32,0,145,0,145
2024-05-24T01:08:28,0,145,0,145
2024-05-24T01:23:25,0,145,0,145
2024-05-24T01:38:24,0,145,0,145
2024-05-24T01:53:46,0,145,0,145
2024-05-24T02:08:41,0,145,0,145
2024-05-24T02:23:37,0,145,0,145
2024-05-24T02:38:32,0,145,0,145
2024-05-24T02:53:29,0,145,0,145
2024-05-24T03:08:29,0,145,0,145
2024-05-24T03:23:25,0,145,0,145
2024-05-24T03:38:21,0,145,0,145
2024-05-24T03:53:23,0,145,0,145
2024-05-24T04:08:30,0,145,0,145
2024-05-24T04:25:53,0,145,0,145
2024-05-24T04:40:49,0,145,0,145
2024-05-24T04:57:23,0,145,0,145
2024-05-24T05:12:26,0,145,0,145
2024-05-24T05:27:23,0,145,0,145
2024-05-24T05:42:20,0,145,0,145
2024-05-24T05:57:16,0,145,0,145
2024-05-24T06:12:12,0,145,0,145
2024-05-24T06:27:11,0,145,0,145
2024-05-24T06:42:06,0,145,0,145
2024-05-24T06:57:02,0,145,0,145
2024-05-24T07:11:59,0,145,0,145
2024-05-24T07:26:55,0,145,0,145
2024-05-24T07:41:52,0,145,0,145
2024-05-24T07:56:48,0,145,0,145
2024-05-24T08:11:51,0,145,0,145
2024-05-24T08:26:46,0,145,0,145
2024-05-24T08:41:42,0,145,0,145
2024-05-24T08:56:36,0,145,0,145
2024-05-24T09:11:32,0,145,0,145
2024-05-24T09:26:26,0,145,0,145
2024-05-24T09:41:20,0,145,0,145
2024-05-24T09:56:26,0,145,0,145
2024-05-24T10:11:19,0,145,0,145
2024-05-24T10:26:13,0,145,0,145
2024-05-24T10:41:07,0,145,0,145
2024-05-24T10:56:01,0,145,0,145
2024-05-24T11:11:04,0,145,0,145
2024-05-24T11:25:57,0,145,0,145
2024-05-24T11:40:51,0,145,0,145
2024-05-24T11:55:44,0,145,0,145
2024-05-24T12:10:40,0,145,0,145
2024-05-24T12:25:41,1,144,0,145
2024-05-24T12:40:34,1,144,0,145
2024-05-24T12:55:29,1,144,0,145
2024-05-24T13:10:22,1,144,0,145
2024-05-24T13:25:26,0,145,0,145
2024-05-24T13:40:20,0,145,0,145
2024-05-24T13:55:14,0,145,0,145
2024-05-24T14:10:08,0,145,0,145
2024-05-24T14:25:12,0,145,0,145
2024-05-24T14:40:11,0,145,0,145
2024-05-24T14:55:04,0,145,0,145
2024-05-24T15:09:58,0,145,0,145
2024-05-24T15:24:53,0,145,0,145
2024-05-24T15:39:56,0,145,0,145
2024-05-24T15:54:49,0,145,0,145
2024-05-24T16:09:43,0,145,0,145
2024-05-24T16:24:38,0,145,0,145
2024-05-24T16:39:31,0,145,0,145
2024-05-24T16:54:42,0,145,0,145
2024-05-24T17:09:37,0,145,0,145
2024-05-24T17:24:34,0,145,0,145
2024-05-24T17:39:28,0,145,0,145
2024-05-24T17:54:23,0,145,0,145
2024-05-24T18:09:18,0,145,0,145
2024-05-24T18:24:13,0,145,0,145
2024-05-24T18:39:17,0,145,0,145
2024-05-24T18:54:11,0,145,0,145
2024-05-24T19:09:06,0,145,0,145
2024-05-24T19:24:00,0,145,0,145
2024-05-24T19:38:55,0,145,0,145
2024-05-24T19:53:50,0,145,0,145
2024-05-24T20:08:44,0,145,0,145
2024-05-24T20:23:40,0,145,0,145
2024-05-24T20:38:43,0,145,0,145
2024-05-24T20:53:37,0,145,0,145
2024-05-24T21:08:32,0,145,0,145
2024-05-24T21:23:29,0,145,0,145
2024-05-24T21:38:23,0,145,0,145
2024-05-24T21:53:19,0,145,0,145
2024-05-24T22:08:14,0,145,0,145
2024-05-24T22:23:10,0,145,0,145
2024-05-24T22:38:02,0,145,0,145
2024-05-24T22:53:06,0,145,0,145
2024-05-24T23:08:02,0,145,0,145
2024-05-24T23:22:57,0,145,0,145
2024-05-24T23:37:52,0,145,0,145
2024-05-24T23:52:47,0,145,0,145
2024-05-25T00:07:46,0,145,0,145
2024-05-25T00:22:49,0,145,0,145
2024-05-25T00:37:50,0,145,0,145
2024-05-25T00:52:50,0,145,0,145
2024-05-25T01:07:56,0,145,0,145
