time,enrolled,available,waitlisted,total
2024-05-21T23:29:43,0,180,0,180
2024-05-21T23:35:48,0,180,0,180
2024-05-21T23:50:35,0,180,0,180
2024-05-22T00:05:25,0,180,0,180
2024-05-22T00:20:18,0,180,0,180
2024-05-22T00:35:10,0,180,0,180
2024-05-22T00:50:03,0,180,0,180
2024-05-22T01:04:54,0,180,0,180
2024-05-22T01:19:46,0,180,0,180
2024-05-22T01:34:48,0,180,0,180
2024-05-22T01:49:40,0,180,0,180
2024-05-22T02:04:33,0,180,0,180
2024-05-22T02:19:24,0,180,0,180
2024-05-22T02:34:14,0,180,0,180
2024-05-22T02:49:04,0,180,0,180
2024-05-22T03:03:53,0,180,0,180
2024-05-22T03:18:45,0,180,0,180
2024-05-22T03:33:35,0,180,0,180
2024-05-22T03:48:36,0,180,0,180
2024-05-22T04:03:30,0,180,0,180
2024-05-22T04:29:35,0,180,0,180
2024-05-22T04:44:50,0,180,0,180
2024-05-22T04:59:42,0,180,0,180
2024-05-22T05:14:42,0,180,0,180
2024-05-22T05:31:17,0,180,0,180
2024-05-22T05:46:08,0,180,0,180
2024-05-22T06:00:59,0,180,0,180
2024-05-22T06:15:49,0,180,0,180
2024-05-22T06:30:44,0,180,0,180
2024-05-22T06:45:34,0,180,0,180
2024-05-22T07:00:24,0,180,0,180
2024-05-22T07:15:19,0,180,0,180
2024-05-22T07:30:09,0,180,0,180
2024-05-22T07:44:58,0,180,0,180
2024-05-22T07:59:48,0,180,0,180
2024-05-22T08:14:38,0,180,0,180
2024-05-22T08:29:39,0,180,0,180
2024-05-22T08:44:29,0,180,0,180
2024-05-22T08:59:18,0,180,0,180
2024-05-22T09:14:08,0,180,0,180
2024-05-22T09:28:57,0,180,0,180
2024-05-22T09:43:46,0,180,0,180
2024-05-22T09:58:35,0,180,0,180
2024-05-22T10:13:22,0,180,0,180
2024-05-22T10:28:23,0,180,0,180
2024-05-22T10:43:11,0,180,0,180
2024-05-22T10:58:00,0,180,0,180
2024-05-22T11:12:50,0,180,0,180
2024-05-22T11:27:50,0,180,0,180
2024-05-22T11:42:38,0,180,0,180
2024-05-22T11:57:25,0,180,0,180
2024-05-22T12:12:25,0,180,0,180
2024-05-22T12:27:14,0,180,0,180
2024-05-22T12:42:12,0,180,0,180
2024-05-22T12:57:00,0,180,0,180
2024-05-22T13:11:49,0,180,0,180
2024-05-22T13:26:41,0,180,0,180
2024-05-22T13:41:41,0,180,0,180
2024-05-22T13:56:29,0,180,0,180
2024-05-22T14:11:19,0,180,0,180
2024-05-22T14:26:08,0,180,0,180
2024-05-22T14:41:06,0,180,0,180
2024-05-22T14:55:56,0,180,0,180
2024-05-22T15:10:45,0,180,0,180
2024-05-22T15:25:47,0,180,0,180
2024-05-22T15:40:36,0,180,0,180
2024-05-22T15:55:26,0,180,0,180
2024-05-22T16:10:16,0,180,0,180
2024-05-22T16:25:17,0,180,0,180
2024-05-22T16:40:05,0,180,0,180
2024-05-22T16:54:54,0,180,0,180
2024-05-22T17:09:43,0,180,0,180
2024-05-22T17:24:45,0,180,0,180
2024-05-22T17:39:34,0,180,0,180
2024-05-22T17:54:24,0,180,0,180
2024-05-22T18:09:14,0,180,0,180
2024-05-22T18:24:04,0,180,0,180
2024-05-22T18:38:52,0,180,0,180
2024-05-22T18:53:51,0,180,0,180
2024-05-22T19:08:40,0,180,0,180
2024-05-22T19:23:29,0,180,0,180
2024-05-22T19:38:18,0,180,0,180
2024-05-22T19:53:08,0,180,0,180
2024-05-22T20:07:57,0,180,0,180
2024-05-22T20:22:56,0,180,0,180
2024-05-22T20:37:45,0,180,0,180
2024-05-22T20:52:34,0,180,0,180
2024-05-22T21:07:25,0,180,0,180
2024-05-22T21:22:21,0,180,0,180
2024-05-22T21:37:11,0,180,0,180
2024-05-22T21:52:11,0,180,0,180
2024-05-22T22:07:01,0,180,0,180
2024-05-22T22:21:51,0,180,0,180
2024-05-22T22:36:41,0,180,0,180
2024-05-22T22:51:32,0,180,0,180
2024-05-22T23:06:21,0,180,0,180
2024-05-22T23:21:22,0,180,0,180
2024-05-22T23:36:13,0,180,0,180
2024-05-22T23:51:02,0,180,0,180
2024-05-23T00:05:52,0,180,0,180
2024-05-23T00:20:53,0,180,0,180
2024-05-23T00:35:48,0,180,0,180
2024-05-23T00:50:43,0,180,0,180
2024-05-23T01:05:35,0,180,0,180
2024-05-23T01:20:27,0,180,0,180
2024-05-23T01:35:20,0,180,0,180
2024-05-23T01:50:24,0,180,0,180
2024-05-23T02:05:15,0,180,0,180
2024-05-23T02:20:06,0,180,0,180
2024-05-23T02:34:57,0,180,0,180
2024-05-23T02:49:47,0,180,0,180
2024-05-23T03:04:38,0,180,0,180
2024-05-23T03:19:39,0,180,0,180
2024-05-23T03:34:31,0,180,0,180
2024-05-23T03:49:24,0,180,0,180
2024-05-23T04:04:20,0,180,0,180
2024-05-23T04:28:33,0,180,0,180
2024-05-23T04:43:55,0,180,0,180
2024-05-23T05:00:26,0,180,0,180
2024-05-23T05:15:32,0,180,0,180
2024-05-23T05:30:26,0,180,0,180
2024-05-23T05:45:18,0,180,0,180
2024-05-23T06:00:10,0,180,0,180
2024-05-23T06:15:02,0,180,0,180
2024-05-23T06:29:54,0,180,0,180
2024-05-23T06:44:47,0,180,0,180
2024-05-23T06:59:40,0,180,0,180
2024-05-23T07:14:34,0,180,0,180
2024-05-23T07:29:26,0,180,0,180
2024-05-23T07:44:17,0,180,0,180
2024-05-23T07:59:08,0,180,0,180
2024-05-23T08:14:02,0,180,0,180
2024-05-23T08:28:53,0,180,0,180
2024-05-23T08:43:44,0,180,0,180
2024-05-23T08:58:42,0,180,0,180
2024-05-23T09:13:33,0,180,0,180
2024-05-23T09:28:25,0,180,0,180
2024-05-23T09:43:17,0,180,0,180
2024-05-23T09:58:10,0,180,0,180
2024-05-23T10:13:03,0,180,0,180
2024-05-23T10:27:56,0,180,0,180
2024-05-23T10:42:47,0,180,0,180
2024-05-23T10:57:50,0,180,0,180
2024-05-23T11:12:42,0,180,0,180
