time,enrolled,available,waitlisted,total
2024-04-16T14:03:42,139,11,0,150
2024-04-16T14:20:02,139,11,0,150
2024-04-16T14:36:13,139,11,0,150
2024-04-16T14:52:23,139,11,0,150
2024-04-16T15:08:47,139,11,0,150
2024-04-16T15:25:01,139,11,0,150
2024-04-16T15:41:11,139,11,0,150
2024-04-16T15:57:21,139,11,0,150
2024-04-16T16:13:32,139,11,0,150
2024-04-16T16:29:41,139,11,0,150
2024-04-16T16:46:05,139,11,0,150
2024-04-16T17:02:15,139,11,0,150
2024-04-16T17:18:26,139,11,0,150
2024-04-16T17:34:37,139,11,0,150
2024-04-16T17:50:48,139,11,0,150
2024-04-16T18:07:09,139,11,0,150
2024-04-16T18:23:20,139,11,0,150
2024-04-16T18:39:30,139,11,0,150
2024-04-16T18:55:40,139,11,0,150
2024-04-16T19:11:50,139,11,0,150
2024-04-16T19:27:57,139,11,0,150
2024-04-16T19:44:03,139,11,0,150
2024-04-16T20:00:21,139,11,0,150
2024-04-16T20:16:28,139,11,0,150
2024-04-16T20:32:35,139,11,0,150
2024-04-16T20:48:41,139,11,0,150
2024-04-16T21:04:47,139,11,0,150
2024-04-16T21:20:55,139,11,0,150
2024-04-16T21:37:07,139,11,0,150
2024-04-16T21:53:30,139,11,0,150
2024-04-16T22:09:39,139,11,0,150
2024-04-16T22:25:49,139,11,0,150
2024-04-16T22:41:59,139,11,0,150
2024-04-16T22:58:08,139,11,0,150
2024-04-16T23:14:19,139,11,0,150
2024-04-16T23:30:30,139,11,0,150
2024-04-16T23:46:41,139,11,0,150
2024-04-17T00:03:05,139,11,0,150
2024-04-17T00:19:22,139,11,0,150
2024-04-17T00:35:37,139,11,0,150
2024-04-17T00:51:55,139,11,0,150
2024-04-17T01:08:08,139,11,0,150
2024-04-17T01:24:20,139,11,0,150
2024-04-17T01:40:31,139,11,0,150
2024-04-17T01:56:44,139,11,0,150
2024-04-17T02:12:59,139,11,0,150
2024-04-17T02:29:10,139,11,0,150
2024-04-17T02:45:21,139,11,0,150
2024-04-17T03:01:32,139,11,0,150
2024-04-17T03:17:45,139,11,0,150
2024-04-17T03:34:00,139,11,0,150
2024-04-17T03:50:22,139,11,0,150
2024-04-17T04:06:35,139,11,0,150
2024-04-17T12:03:19,139,11,0,150
2024-04-17T12:19:31,139,11,0,150
2024-04-17T12:35:42,139,11,0,150
2024-04-17T12:52:04,139,11,0,150
2024-04-17T13:08:16,139,11,0,150
2024-04-17T13:24:26,139,11,0,150
2024-04-17T13:40:37,139,11,0,150
