time,enrolled,available,waitlisted,total
2024-05-21T23:29:46,0,288,0,288
2024-05-21T23:35:51,0,288,0,288
2024-05-21T23:50:39,0,288,0,288
2024-05-22T00:05:28,0,288,0,288
2024-05-22T00:20:21,0,288,0,288
2024-05-22T00:35:13,0,288,0,288
2024-05-22T00:50:06,0,288,0,288
2024-05-22T01:04:57,0,288,0,288
2024-05-22T01:19:49,0,288,0,288
2024-05-22T01:34:51,0,288,0,288
2024-05-22T01:49:44,0,288,0,288
2024-05-22T02:04:36,0,288,0,288
2024-05-22T02:19:27,0,288,0,288
2024-05-22T02:34:17,0,288,0,288
2024-05-22T02:49:07,0,288,0,288
2024-05-22T03:03:57,0,288,0,288
2024-05-22T03:18:48,0,288,0,288
2024-05-22T03:33:38,0,288,0,288
2024-05-22T03:48:39,0,288,0,288
2024-05-22T04:03:33,0,288,0,288
2024-05-22T04:29:38,0,288,0,288
2024-05-22T04:44:54,0,288,0,288
2024-05-22T04:59:45,0,288,0,288
2024-05-22T05:14:45,0,288,0,288
2024-05-22T05:31:20,0,288,0,288
2024-05-22T05:46:11,0,288,0,288
2024-05-22T06:01:02,0,288,0,288
2024-05-22T06:15:53,0,288,0,288
2024-05-22T06:30:47,0,288,0,288
2024-05-22T06:45:37,0,288,0,288
2024-05-22T07:00:27,0,288,0,288
2024-05-22T07:15:22,0,288,0,288
2024-05-22T07:30:12,0,288,0,288
2024-05-22T07:45:01,0,288,0,288
2024-05-22T07:59:51,0,288,0,288
2024-05-22T08:14:42,0,288,0,288
2024-05-22T08:29:42,0,288,0,288
2024-05-22T08:44:32,0,288,0,288
2024-05-22T08:59:21,0,288,0,288
2024-05-22T09:14:11,0,288,0,288
2024-05-22T09:29:00,0,288,0,288
2024-05-22T09:43:50,0,288,0,288
2024-05-22T09:58:38,0,288,0,288
2024-05-22T10:13:26,0,288,0,288
2024-05-22T10:28:27,0,288,0,288
2024-05-22T10:43:14,0,288,0,288
2024-05-22T10:58:04,0,288,0,288
2024-05-22T11:12:53,0,288,0,288
2024-05-22T11:27:53,0,288,0,288
2024-05-22T11:42:41,0,288,0,288
2024-05-22T11:57:29,0,288,0,288
2024-05-22T12:12:28,0,288,0,288
2024-05-22T12:27:17,0,288,0,288
2024-05-22T12:42:16,0,288,0,288
2024-05-22T12:57:03,0,284,0,284
2024-05-22T13:11:53,0,218,0,218
2024-05-22T13:26:44,0,218,0,218
2024-05-22T13:41:44,0,218,0,218
2024-05-22T13:56:32,0,218,0,218
2024-05-22T14:11:22,0,218,0,218
2024-05-22T14:26:11,0,218,0,218
2024-05-22T14:41:10,0,218,0,218
2024-05-22T14:56:00,0,218,0,218
2024-05-22T15:10:48,0,218,0,218
2024-05-22T15:25:50,0,218,0,218
2024-05-22T15:40:40,0,218,0,218
2024-05-22T15:55:29,0,218,0,218
2024-05-22T16:10:19,0,218,0,218
2024-05-22T16:25:20,0,218,0,218
2024-05-22T16:40:08,0,218,0,218
2024-05-22T16:54:57,0,218,0,218
2024-05-22T17:09:46,0,218,0,218
2024-05-22T17:24:48,0,218,0,218
2024-05-22T17:39:37,0,218,0,218
2024-05-22T17:54:27,0,218,0,218
2024-05-22T18:09:17,0,218,0,218
2024-05-22T18:24:07,0,218,0,218
2024-05-22T18:38:55,0,218,0,218
2024-05-22T18:53:54,0,218,0,218
2024-05-22T19:08:44,0,218,0,218
2024-05-22T19:23:33,0,218,0,218
2024-05-22T19:38:22,0,218,0,218
2024-05-22T19:53:11,0,218,0,218
2024-05-22T20:08:01,0,218,0,218
2024-05-22T20:23:00,0,218,0,218
2024-05-22T20:37:48,0,218,0,218
2024-05-22T20:52:37,0,218,0,218
2024-05-22T21:07:28,0,218,0,218
2024-05-22T21:22:24,0,218,0,218
2024-05-22T21:37:14,0,218,0,218
2024-05-22T21:52:14,0,218,0,218
2024-05-22T22:07:04,0,218,0,218
2024-05-22T22:21:55,0,218,0,218
2024-05-22T22:36:44,0,218,0,218
2024-05-22T22:51:35,0,218,0,218
2024-05-22T23:06:24,0,218,0,218
2024-05-22T23:21:25,0,218,0,218
2024-05-22T23:36:16,0,218,0,218
2024-05-22T23:51:05,0,218,0,218
2024-05-23T00:05:55,0,218,0,218
2024-05-23T00:20:57,0,218,0,218
2024-05-23T00:35:51,0,218,0,218
2024-05-23T00:50:46,0,218,0,218
2024-05-23T01:05:38,0,218,0,218
2024-05-23T01:20:30,0,218,0,218
2024-05-23T01:35:24,0,218,0,218
2024-05-23T01:50:28,0,218,0,218
2024-05-23T02:05:19,0,218,0,218
2024-05-23T02:20:09,0,218,0,218
2024-05-23T02:35:00,0,218,0,218
2024-05-23T02:49:50,0,218,0,218
2024-05-23T03:04:42,0,218,0,218
