course,course_number,quarter,quarter_label,quarter_numeric,enrolled,available,waitlisted,total_capacity,division,is_upper_division,is_lower_division,is_required,is_elective,requirement_type,utilization_rate,waitlist_rate,available_rate,demand_pressure,is_oversubscribed,has_waitlist,quarters_offered,is_every_quarter,is_fall,is_winter,is_spring
DSC_80,80,fa24,Fall 2024,1,202,38,0,240,lower_division,0,1,1,0,Required,84.17,0.0,15.83,84.16666666666667,0,0,3,1,1,0,0
DSC_95,95,fa24,Fall 2024,1,10,40,0,50,lower_division,0,1,0,1,Elective,20.0,0.0,80.0,20.0,0,0,3,1,1,0,0
DSC_90,90,fa24,Fall 2024,1,7,13,0,20,lower_division,0,1,0,1,Elective,35.0,0.0,65.0,35.0,0,0,1,0,1,0,0
DSC_20,20,fa24,Fall 2024,1,74,76,0,150,lower_division,0,1,1,0,Required,49.33,0.0,50.67,49.333333333333336,0,0,3,1,1,0,0
DSC_40A,40,fa24,Fall 2024,1,158,7,0,165,lower_division,0,1,1,0,Required,95.76,0.0,4.24,95.75757575757575,1,0,3,1,1,0,0
DSC_30,30,fa24,Fall 2024,1,66,34,0,100,lower_division,0,1,1,0,Required,66.0,0.0,34.0,66.0,0,0,3,1,1,0,0
DSC_40B,40,fa24,Fall 2024,1,129,31,0,160,lower_division,0,1,1,0,Required,80.62,0.0,19.38,80.625,0,0,3,1,1,0,0
DSC_10,10,fa24,Fall 2024,1,427,17,8,444,lower_division,0,1,1,0,Required,96.17,1.8,3.83,97.97297297297297,1,1,3,1,1,0,0
DSC_106,106,fa24,Fall 2024,1,142,7,0,149,upper_division,1,0,1,0,Required,95.3,0.0,4.7,95.30201342281879,1,0,3,1,1,0,0
DSC_100,100,fa24,Fall 2024,1,134,11,0,145,upper_division,1,0,1,0,Required,92.41,0.0,7.59,92.41379310344827,0,0,3,1,1,0,0
DSC_102,102,fa24,Fall 2024,1,71,33,0,104,upper_division,1,0,1,0,Required,68.27,0.0,31.73,68.26923076923077,0,0,2,0,1,0,0
DSC_180A,180,fa24,Fall 2024,1,231,3,0,234,upper_division,1,0,1,0,Required,98.72,0.0,1.28,98.71794871794873,1,0,1,0,1,0,0
DSC_190,190,fa24,Fall 2024,1,199,69,0,268,upper_division,1,0,1,0,Required,74.25,0.0,25.75,74.25373134328358,0,0,3,1,1,0,0
DSC_140A,140,fa24,Fall 2024,1,151,7,0,158,upper_division,1,0,0,1,Elective,95.57,0.0,4.43,95.56962025316456,1,0,3,1,1,0,0
DSC_140B,140,fa24,Fall 2024,1,129,21,0,150,upper_division,1,0,0,1,Elective,86.0,0.0,14.0,86.0,0,0,3,1,1,0,0
DSC_80,80,wi25,Winter 2025,2,147,2,4,149,lower_division,0,1,1,0,Required,98.66,2.68,1.34,101.34228187919463,1,1,3,1,0,1,0
DSC_95,95,wi25,Winter 2025,2,24,11,0,35,lower_division,0,1,0,1,Elective,68.57,0.0,31.43,68.57142857142857,0,0,3,1,0,1,0
DSC_96,96,wi25,Winter 2025,2,32,8,0,40,lower_division,0,1,0,1,Elective,80.0,0.0,20.0,80.0,0,0,1,0,0,1,0
DSC_20,20,wi25,Winter 2025,2,309,75,0,384,lower_division,0,1,1,0,Required,80.47,0.0,19.53,80.46875,0,0,3,1,0,1,0
DSC_40A,40,wi25,Winter 2025,2,164,28,0,192,lower_division,0,1,1,0,Required,85.42,0.0,14.58,85.41666666666666,0,0,3,1,0,1,0
DSC_30,30,wi25,Winter 2025,2,68,72,0,140,lower_division,0,1,1,0,Required,48.57,0.0,51.43,48.57142857142857,0,0,3,1,0,1,0
DSC_40B,40,wi25,Winter 2025,2,141,4,0,145,lower_division,0,1,1,0,Required,97.24,0.0,2.76,97.24137931034483,1,0,3,1,0,1,0
DSC_10,10,wi25,Winter 2025,2,207,83,0,290,lower_division,0,1,1,0,Required,71.38,0.0,28.62,71.37931034482759,0,0,3,1,0,1,0
DSC_106,106,wi25,Winter 2025,2,254,38,0,292,upper_division,1,0,1,0,Required,86.99,0.0,13.01,86.98630136986301,0,0,3,1,0,1,0
DSC_100,100,wi25,Winter 2025,2,145,0,11,145,upper_division,1,0,1,0,Required,100.0,7.59,0.0,107.58620689655172,1,1,3,1,0,1,0
DSC_170,170,wi25,Winter 2025,2,33,17,0,50,upper_division,1,0,0,1,Elective,66.0,0.0,34.0,66.0,0,0,1,0,0,1,0
DSC_180B,180,wi25,Winter 2025,2,231,4,0,235,upper_division,1,0,1,0,Required,98.3,0.0,1.7,98.29787234042553,1,0,1,0,0,1,0
DSC_148,148,wi25,Winter 2025,2,110,15,0,125,upper_division,1,0,0,1,Elective,88.0,0.0,12.0,88.0,0,0,1,0,0,1,0
DSC_190,190,wi25,Winter 2025,2,54,19,0,73,upper_division,1,0,1,0,Required,73.97,0.0,26.03,73.97260273972603,0,0,3,1,0,1,0
DSC_140A,140,wi25,Winter 2025,2,208,82,0,290,upper_division,1,0,0,1,Elective,71.72,0.0,28.28,71.72413793103448,0,0,3,1,0,1,0
DSC_140B,140,wi25,Winter 2025,2,43,102,0,145,upper_division,1,0,0,1,Elective,29.66,0.0,70.34,29.655172413793103,0,0,3,1,0,1,0
DSC_80,80,sp25,Spring 2025,3,136,4,1,140,lower_division,0,1,1,0,Required,97.14,0.71,2.86,97.85714285714285,1,1,3,1,0,0,1
