time,enrolled,available,waitlisted,total
2025-02-04T18:41:08,0,180,0,180
2025-02-04T19:11:55,0,180,0,180
2025-02-04T19:42:42,0,180,0,180
2025-02-04T20:13:28,0,180,0,180
2025-02-04T20:44:24,0,180,0,180
2025-02-04T21:15:10,0,180,0,180
2025-02-04T21:46:04,0,180,0,180
2025-02-04T22:16:50,0,180,0,180
2025-02-04T22:47:35,0,180,0,180
2025-02-04T23:18:31,0,180,0,180
2025-02-04T23:49:17,0,180,0,180
2025-02-05T00:20:08,0,180,0,180
2025-02-05T00:51:00,0,180,0,180
2025-02-05T01:21:51,0,180,0,180
2025-02-05T01:52:46,0,180,0,180
2025-02-05T02:23:39,0,180,0,180
2025-02-05T02:54:29,0,180,0,180
2025-02-05T03:25:19,0,180,0,180
2025-02-05T03:56:15,0,180,0,180
2025-02-05T04:26:22,0,180,0,180
2025-02-05T04:57:16,0,180,0,180
2025-02-05T05:28:11,0,180,0,180
2025-02-05T05:59:02,0,180,0,180
2025-02-05T06:29:52,0,180,0,180
2025-02-05T07:00:41,0,180,0,180
2025-02-05T07:31:33,0,180,0,180
2025-02-05T08:02:20,0,180,0,180
2025-02-05T08:33:23,0,180,0,180
2025-02-05T09:04:18,0,180,0,180
2025-02-05T09:35:09,0,180,0,180
2025-02-05T10:05:56,0,180,0,180
2025-02-05T10:36:45,0,180,0,180
2025-02-05T11:07:34,0,180,0,180
2025-02-05T11:38:46,0,180,0,180
2025-02-05T12:09:34,0,180,0,180
2025-02-05T12:40:32,0,180,0,180
2025-02-05T13:11:20,0,180,0,180
2025-02-05T13:42:08,0,180,0,180
2025-02-05T14:13:08,0,180,0,180
2025-02-05T14:43:56,0,180,0,180
2025-02-05T15:14:53,0,180,0,180
2025-02-05T15:45:41,0,180,0,180
2025-02-05T16:16:30,0,180,0,180
2025-02-05T16:47:17,0,180,0,180
2025-02-05T17:18:15,0,180,0,180
2025-02-05T17:49:02,0,180,0,180
2025-02-05T18:19:48,0,180,0,180
2025-02-05T18:50:39,0,180,0,180
2025-02-05T19:21:26,0,180,0,180
2025-02-05T19:52:13,0,180,0,180
2025-02-05T20:22:59,0,180,0,180
2025-02-05T20:53:47,0,180,0,180
2025-02-05T21:24:35,0,180,0,180
2025-02-05T21:55:25,0,180,0,180
2025-02-05T22:26:36,0,180,0,180
2025-02-05T22:57:34,0,180,0,180
2025-02-05T23:28:23,0,180,0,180
2025-02-05T23:59:10,0,180,0,180
2025-02-06T00:30:02,0,180,0,180
2025-02-06T01:00:55,0,180,0,180
2025-02-06T01:31:48,0,180,0,180
2025-02-06T02:02:44,0,180,0,180
2025-02-06T02:33:52,0,180,0,180
2025-02-06T03:04:41,0,180,0,180
2025-02-06T03:35:41,0,180,0,180
2025-02-06T04:06:29,0,180,0,180
2025-02-06T04:27:56,0,180,0,180
2025-02-06T04:58:50,0,180,0,180
2025-02-06T05:29:49,0,180,0,180
2025-02-06T06:00:40,0,180,0,180
2025-02-06T06:31:32,0,180,0,180
2025-02-06T07:02:22,0,180,0,180
2025-02-06T07:33:12,0,180,0,180
2025-02-06T08:04:00,0,180,0,180
2025-02-06T08:34:48,0,180,0,180
2025-02-06T09:05:44,0,180,0,180
2025-02-06T09:36:30,0,180,0,180
2025-02-06T10:07:18,0,180,0,180
2025-02-06T10:38:06,0,180,0,180
2025-02-06T11:08:56,0,180,0,180
2025-02-06T11:39:56,0,180,0,180
2025-02-06T12:10:43,0,180,0,180
2025-02-06T12:41:32,0,180,0,180
2025-02-06T13:12:32,0,180,0,180
2025-02-06T13:43:20,0,180,0,180
2025-02-06T14:14:07,0,180,0,180
2025-02-06T14:44:54,0,180,0,180
2025-02-06T15:15:53,0,180,0,180
2025-02-06T15:46:42,0,180,0,180
2025-02-06T16:17:38,0,180,0,180
2025-02-06T16:48:33,0,180,0,180
2025-02-06T17:19:39,0,180,0,180
2025-02-06T17:50:32,0,180,0,180
2025-02-06T18:21:26,0,180,0,180
2025-02-06T18:52:30,0,180,0,180
2025-02-06T19:23:32,0,180,0,180
2025-02-06T19:54:25,0,180,0,180
2025-02-06T20:25:20,0,180,0,180
2025-02-06T20:56:14,0,180,0,180
2025-02-06T21:27:07,0,180,0,180
2025-02-06T21:58:16,0,180,0,180
2025-02-06T22:29:10,0,180,0,180
2025-02-06T23:00:05,0,180,0,180
2025-02-06T23:31:01,0,180,0,180
2025-02-07T00:01:55,0,180,0,180
2025-02-07T00:32:50,0,180,0,180
2025-02-07T01:03:48,0,180,0,180
2025-02-07T01:34:55,0,180,0,180
2025-02-07T02:05:58,0,180,0,180
2025-02-07T02:36:54,0,180,0,180
2025-02-07T03:07:55,0,180,0,180
2025-02-07T03:38:52,0,180,0,180
2025-02-07T04:11:46,0,180,0,180
2025-02-07T04:36:39,0,180,0,180
2025-02-07T05:07:38,0,180,0,180
2025-02-07T05:38:38,0,180,0,180
2025-02-07T06:09:35,0,180,0,180
2025-02-07T06:40:31,0,180,0,180
2025-02-07T07:11:28,0,180,0,180
2025-02-07T07:42:22,0,180,0,180
2025-02-07T08:13:15,0,180,0,180
2025-02-07T08:44:24,0,180,0,180
2025-02-07T09:15:24,0,180,0,180
2025-02-07T09:46:24,0,180,0,180
2025-02-07T10:17:35,0,180,0,180
2025-02-07T10:48:40,0,180,0,180
2025-02-07T11:20:00,0,180,0,180
2025-02-07T11:51:17,0,180,0,180
2025-02-07T12:22:31,0,180,0,180
2025-02-07T12:54:08,0,180,0,180
2025-02-07T13:25:46,0,180,0,180
2025-02-07T13:57:14,0,180,0,180
2025-02-07T14:28:48,0,180,0,180
2025-02-07T15:00:04,0,180,0,180
2025-02-07T15:31:20,0,180,0,180
2025-02-07T16:02:28,0,180,0,180
2025-02-07T16:33:42,0,180,0,180
2025-02-07T17:04:56,0,180,0,180
2025-02-07T17:36:02,0,180,0,180
2025-02-07T18:07:16,0,180,0,180
2025-02-07T18:38:22,0,180,0,180
2025-02-07T19:09:38,0,180,0,180
2025-02-07T19:40:43,0,180,0,180
2025-02-07T20:11:57,0,180,0,180
2025-02-07T20:43:01,0,180,0,180
2025-02-07T21:14:06,0,180,0,180
